"Gene.symbol","logFC","P.Value","adj.P.Val"
"Ksr1",0.124,0.189,0.449
"Sept1",-0.0898,0.189,0.449
"Zfp638",0.104,0.189,0.449
"Smim19",-0.155,0.189,0.449
"Morf4l1b///Morf4l1",-0.1,0.189,0.449
"Ptprs",0.121,0.189,0.449
"Stk24",0.113,0.189,0.45
"Hbb-bt///Hbb-bs///Hbb-b2///Hbb-b1",-0.102,0.189,0.45
"Btbd17",0.0995,0.189,0.45
"Zfp202",0.111,0.189,0.45
"2010107G23Rik",-0.142,0.189,0.45
"Ofa",-0.117,0.189,0.45
"Pth2r",-0.0777,0.189,0.45
"Slc38a2",0.267,0.189,0.45
"Cdk6",0.115,0.19,0.45
"Ifnz",0.0977,0.19,0.45
"Pard6g",0.144,0.19,0.45
"Plekhf2",0.115,0.19,0.45
"Ucn2",0.13,0.19,0.45
"Sptbn4",0.112,0.19,0.451
"Cttnbp2nl",0.0788,0.19,0.451
"Fads2",-0.203,0.19,0.451
"Il18r1",0.112,0.19,0.451
"Rnd3",0.148,0.19,0.451
"Krt27",0.106,0.19,0.451
"Trim7",-0.118,0.191,0.452
"Zc3h18",0.11,0.191,0.452
"Aplf",0.111,0.191,0.452
"Cer1",-0.134,0.191,0.452
"Hsd11b2",0.117,0.191,0.452
"Gabrb3",0.118,0.191,0.452
"Alb",0.0965,0.191,0.452
"Ccr5",-0.0698,0.191,0.452
"Mylk2",0.111,0.191,0.452
"Ndfip1",0.0857,0.191,0.452
"Crtac1",0.141,0.191,0.452
"Nrp1",0.25,0.191,0.452
"Ccl6",-0.131,0.191,0.452
"Slc7a7",-0.15,0.191,0.452
"Arhgap31",0.0977,0.191,0.452
"Adh1",0.12,0.191,0.452
"Tbx3",0.14,0.191,0.452
"Dcun1d5",-0.136,0.191,0.452
"Rrm2",0.102,0.191,0.452
"Gm2444///Dazap2",-0.136,0.192,0.452
"Bdkrb2",0.16,0.192,0.452
"Slit3",0.1,0.192,0.453
"Nrip3",0.118,0.192,0.453
"Svbp",-0.118,0.192,0.453
"D15Ertd55e",0.0912,0.192,0.453
"Cdkn2aipnl",-0.122,0.192,0.453
"Xrn2",0.116,0.192,0.453
"Plin4",-0.174,0.192,0.453
"Nxnl2",0.114,0.192,0.453
"Pbsn",0.102,0.192,0.454
"Msra",-0.103,0.192,0.454
"Sh2d1a",0.0892,0.193,0.454
"Ccdc6",-0.103,0.193,0.454
"Brap",-0.141,0.193,0.454
"Muc20",0.101,0.193,0.454
"Aqp3",0.149,0.193,0.454
"Shox2",0.109,0.193,0.454
"Cphx3",0.093,0.193,0.454
"Ipo4///Tm9sf1",0.145,0.193,0.454
"Tmem14c",-0.0928,0.193,0.454
"Ckap5",-0.126,0.193,0.454
"Ndufb7",-0.0922,0.193,0.455
"Acsl5",-0.104,0.193,0.455
"Ttc27",-0.157,0.193,0.455
"Igkv5-39",-0.091,0.193,0.455
"Lum",-0.206,0.193,0.455
"Polr2j",-0.0847,0.193,0.455
"Iglc1///Iglv1",-0.158,0.193,0.455
"Bgn",-0.195,0.194,0.455
"Pcna",0.107,0.194,0.455
"Scly",-0.117,0.194,0.455
"Tff1",0.0827,0.194,0.455
"Gpr3",0.113,0.194,0.455
"Rps15a-ps5///Rps15a",-0.142,0.194,0.455
"Irf9",-0.146,0.194,0.455
"Crygd",0.113,0.194,0.455
"Spert",-0.108,0.194,0.455
"Sdhb",-0.0882,0.194,0.455
"Lpin2",-0.152,0.194,0.455
"1700129C05Rik",-0.0883,0.194,0.455
"Mdk",0.15,0.194,0.455
"Spry4",0.119,0.194,0.455
"Rpl13a///Flt3l",0.0842,0.194,0.455
"AU021895///Gpr137b",0.0723,0.194,0.455
"Tpbpa",0.0788,0.194,0.455
"Plod3",0.0842,0.194,0.455
"Fndc4",0.138,0.194,0.455
"Ddx46",0.138,0.194,0.455
"Oas1e",0.113,0.194,0.455
"Map1lc3a",0.119,0.194,0.455
"Krt33a",0.105,0.194,0.455
"Plaur",0.131,0.194,0.455
"Nt5e",-0.0928,0.194,0.455
"Slc25a25",0.242,0.195,0.456
"Tspan7",0.116,0.195,0.456
"Tinag",-0.192,0.195,0.456
"Mef2d",0.0888,0.195,0.456
"Map3k8",0.128,0.195,0.456
"Smdt1",-0.101,0.195,0.456
"Ildr1",-0.135,0.195,0.456
"Bop1",0.0802,0.195,0.456
"Nbeal2",0.138,0.195,0.456
"Snhg8",0.125,0.195,0.456
"Scel",-0.105,0.195,0.456
"Ehhadh",-0.192,0.195,0.456
"Cox7c",0.0755,0.195,0.456
"Pard6a",0.099,0.195,0.456
"Col25a1",0.101,0.195,0.456
"Ap3s1",0.129,0.195,0.456
"Nr4a2",0.0968,0.195,0.456
"Olfr1509",-0.101,0.195,0.456
"Fktn",-0.0957,0.195,0.457
"Zscan2",0.109,0.196,0.457
"Vmn1r11",0.0735,0.196,0.457
"B4galt5",0.135,0.196,0.457
"Sumo3",0.16,0.196,0.457
"Csf1r",-0.144,0.196,0.457
"Rgs6",0.0877,0.196,0.457
"Zcchc9",0.158,0.196,0.457
"R74862",0.0928,0.196,0.457
"Ccrl2",0.0978,0.196,0.457
"Tle6",0.0985,0.196,0.457
"Zgpat",0.1,0.196,0.457
"Fcgr3",-0.136,0.196,0.457
"Cops7b",0.091,0.196,0.457
"Stim1",0.0812,0.196,0.457
"Pcf11",0.105,0.196,0.457
"Dcaf8",-0.186,0.196,0.457
"Dpysl5",0.0988,0.196,0.457
"Vangl2",0.145,0.196,0.457
"Nrarp",-0.123,0.196,0.457
"Tfpi2",-0.138,0.196,0.457
"Efcab14",-0.0938,0.196,0.457
"Hbb-b2",0.092,0.196,0.457
"Slc25a19",0.109,0.196,0.457
"Zfp524",0.0928,0.196,0.457
"Qsox1",0.0913,0.196,0.457
"Fli1",0.126,0.196,0.457
"Scmh1",-0.0863,0.196,0.457
"Esrp1",0.147,0.197,0.457
"Plekha6",0.0942,0.197,0.457
"1810044D09Rik",-0.0998,0.197,0.457
"Abcg3",0.151,0.197,0.457
"Cort",0.123,0.197,0.458
"Nup54",0.0913,0.197,0.458
"Rab32",0.103,0.197,0.458
"Arid5a",0.084,0.197,0.458
"Gm12338",0.102,0.197,0.458
"Mapk8ip2",0.0802,0.197,0.458
"Zeb1",0.0935,0.198,0.459
"Prkcg",0.0915,0.198,0.459
"Rangrf",-0.106,0.198,0.459
"Crhr2",0.0868,0.198,0.459
"Dnase1l3",0.122,0.198,0.459
"Wdr6",0.172,0.198,0.459
"Gpr65",-0.102,0.198,0.459
"Slc27a5",0.115,0.198,0.459
"Pcdhb22",-0.0835,0.198,0.459
"Nckap5l",-0.111,0.198,0.459
"1700017B05Rik",0.114,0.198,0.459
"5330417C22Rik",0.159,0.198,0.459
"Clp1",0.105,0.198,0.459
"Slfn2",0.103,0.198,0.459
"Aldh9a1",-0.0888,0.198,0.459
"1700082M22Rik",0.0997,0.198,0.459
"Cinp",0.0837,0.198,0.459
"Cdh13",0.136,0.198,0.459
"Olfr1507",0.11,0.198,0.459
"Nans",-0.144,0.198,0.459
"Grin2d",0.115,0.199,0.46
"Pga5",0.105,0.199,0.46
"Qtrt1",-0.103,0.199,0.46
"Slc38a3",0.133,0.199,0.46
"Pitx1",0.121,0.199,0.46
"Rpl13///Tax1bp3",0.117,0.199,0.46
"Zfp108",0.105,0.199,0.46
"Hgh1",0.159,0.199,0.46
"Nsmf",0.0992,0.199,0.46
"Htr7",-0.108,0.199,0.46
"Il17b",0.139,0.199,0.46
"Bsg",-0.104,0.199,0.46
"Ffar2",-0.103,0.199,0.461
"Pisd///Pisd-ps1///Pisd-ps3",0.134,0.199,0.461
"Pgls",-0.0938,0.199,0.461
"Tspyl4",0.111,0.2,0.461
"Lats1",0.085,0.2,0.461
"Gm13669///Plp2",-0.088,0.2,0.461
"Nab2",-0.109,0.2,0.461
"Aspn",0.0822,0.2,0.462
"Fzd4",-0.178,0.2,0.462
"Prr12",0.131,0.2,0.462
"Arl4c",0.101,0.2,0.462
"Trpc2",-0.0983,0.2,0.462
"Chrdl1",-0.119,0.2,0.462
"Stmn4",0.0873,0.2,0.462
"Pla2r1",0.0998,0.201,0.462
"Cmpk2",0.109,0.201,0.462
"Abcd3",-0.0948,0.201,0.462
"Dkk3",0.111,0.201,0.462
"Srcap",0.0885,0.201,0.462
"Telo2",0.089,0.201,0.462
"Crybb2",0.0885,0.201,0.463
"Tnfsfm13///Tnfsf13///Tnfsf12",-0.148,0.201,0.463
"Sppl2b",-0.0802,0.201,0.463
"Cdh2",-0.174,0.201,0.463
"Tmbim4",-0.0763,0.201,0.464
"D1Ertd622e",-0.0937,0.202,0.464
"Dock6",0.128,0.202,0.464
"Sumf1",0.134,0.202,0.464
"Ces1e",-0.14,0.202,0.464
"Mcm4",0.0908,0.202,0.464
"Cyp3a16",0.071,0.202,0.464
"Oprl1",-0.0953,0.202,0.464
"Ntm",-0.101,0.202,0.464
"Tsc2",0.0825,0.202,0.464
"Neu2",-0.0825,0.202,0.464
"3110079O15Rik",0.112,0.202,0.464
"Foxc1",0.0965,0.202,0.464
"Cyp2c70",0.313,0.202,0.464
"Bmpr1b",0.12,0.202,0.465
"Unc13b",-0.159,0.202,0.465
"Rfx2",0.144,0.202,0.465
"Atg2a",0.0917,0.202,0.465
"Pcp2",0.0963,0.202,0.465
"LOC102643033",0.1,0.203,0.465
"Smr3a",0.0938,0.203,0.465
"Krtdap",0.107,0.203,0.465
"Rpl11",-0.071,0.203,0.465
"Tsg101",0.0817,0.203,0.465
"Prkaca",0.0855,0.203,0.465
"Zp2",0.135,0.203,0.465
"Hes1",0.1,0.203,0.465
"Cntn2",0.0848,0.203,0.466
"Slc6a20b",0.11,0.203,0.466
"C79452",0.0843,0.203,0.466
"Fgf23",0.108,0.203,0.466
"Ola1",0.132,0.203,0.466
"Selt",0.0808,0.203,0.466
"Fndc7",0.0995,0.203,0.466
"Tbc1d8b",0.0818,0.203,0.466
"Gzmb",0.17,0.203,0.466
"Dph6",-0.108,0.204,0.466
"Lamb2",-0.0928,0.204,0.466
"Sox1",0.0887,0.204,0.466
"Lgals12",0.112,0.204,0.466
"Clip4",0.081,0.204,0.466
"Akirin1",0.096,0.204,0.466
"Cspp1",0.103,0.204,0.466
"Vsir",-0.0697,0.204,0.467
"Emd",0.108,0.204,0.467
"Uxt",-0.149,0.204,0.467
"Pde6b",0.0822,0.204,0.467
"Lsp1",0.13,0.205,0.468
"Fbxw7",0.0982,0.205,0.468
"C81600",0.103,0.205,0.468
"Cacna1h",0.118,0.205,0.468
"Ctgf",0.196,0.205,0.468
"Dnajc27",0.0937,0.205,0.468
"Sidt1",0.0785,0.205,0.468
"LOC624295",0.102,0.205,0.468
"Gpt",-0.109,0.205,0.468
"Ptger1",0.113,0.205,0.469
"Ccl5",0.164,0.206,0.469
"Nectin4",0.0833,0.206,0.469
"Ncf4",0.111,0.206,0.469
"Pkd2",-0.12,0.206,0.469
"Try5///Try4",-0.922,0.206,0.469
"Slc12a1",0.115,0.206,0.469
"Nepro",0.105,0.206,0.469
"Coq10a",0.141,0.206,0.47
"Cmtr2",-0.103,0.206,0.47
"Orc1",0.108,0.207,0.471
"Drg2",-0.113,0.207,0.471
"Tango2",-0.149,0.207,0.471
"Nov",0.0813,0.207,0.471
"Chd7",0.0913,0.207,0.471
"Cldn9",0.105,0.207,0.471
"Tom1",0.0833,0.207,0.471
"Galnt10",0.0792,0.207,0.471
"Mcee",-0.103,0.207,0.471
"Gypc",-0.104,0.207,0.471
"C80360",0.118,0.207,0.471
"Krt6a",0.124,0.207,0.471
"Efna5",0.109,0.207,0.471
"Snx22",0.0857,0.207,0.471
"Ubfd1",0.149,0.207,0.471
"Ppard",0.123,0.207,0.471
"Tpcn2",0.111,0.207,0.471
"Hist1h3h///Hist1h3b",-0.114,0.207,0.471
"Thoc2",0.085,0.207,0.471
"Svs3b///Svs3a",0.0828,0.207,0.471
"Ncaph2",-0.0893,0.207,0.471
"Mrpl23",-0.117,0.207,0.471
"Crb1",0.13,0.207,0.471
"Sectm1a",-0.117,0.208,0.471
"Susd6",-0.0928,0.208,0.471
"Bet1",0.108,0.208,0.471
"Dnajb4",0.275,0.208,0.472
"St8sia3",0.0708,0.208,0.472
"Tpst2",-0.121,0.208,0.472
"Ubac2",0.0792,0.208,0.472
"Tnfrsf11b",0.097,0.208,0.472
"Clcf1",-0.0785,0.208,0.472
"Nr1d1",0.145,0.208,0.472
"Erg",0.0882,0.208,0.472
"Atp5g3",0.0717,0.208,0.472
"Gpaa1",-0.13,0.209,0.473
"Dnase1l1",-0.145,0.209,0.473
"Rprm",0.0857,0.209,0.473
"Tff2",0.227,0.209,0.473
"Lamc1",0.119,0.209,0.473
"Ripk2",0.145,0.209,0.473
"Il18",0.146,0.209,0.473
"Arl6",0.0913,0.209,0.473
"Cers4",0.0988,0.209,0.473
"Mfsd6",0.103,0.209,0.474
"Ghdc",0.112,0.21,0.474
"Grk4",-0.148,0.21,0.474
"Zmym4",-0.108,0.21,0.474
"Fbxo4",0.111,0.21,0.474
"Cdh5",-0.0942,0.21,0.474
"Esr2",0.116,0.21,0.475
"Vapb",-0.113,0.21,0.475
"Cybrd1",0.0967,0.21,0.475
"She",-0.114,0.21,0.475
"Sema3a",0.081,0.21,0.475
"Pmel",0.129,0.21,0.475
"Mad2l1bp",0.111,0.21,0.475
"Tgfb3",-0.114,0.21,0.475
"Vrk2",0.0777,0.211,0.475
"Pdia6",0.113,0.211,0.475
"Car6",-0.0735,0.211,0.475
"Nsun6",0.0825,0.211,0.475
"Rab28",-0.152,0.211,0.475
"Txndc16",-0.0835,0.211,0.475
"Mynn",-0.0915,0.211,0.475
"St6gal1",-0.0992,0.211,0.475
"Tra2a",-0.141,0.211,0.475
"Lmod2",-0.0947,0.211,0.475
"D0Kist5",-0.0878,0.211,0.476
"Stx4a",-0.167,0.211,0.476
"Sprr2a2///Sprr2a3///Sprr2a1",0.127,0.211,0.476
"Gm8465///Ppcs",-0.0917,0.211,0.476
"Nckipsd",-0.0948,0.211,0.476
"Igfbpl1",0.117,0.211,0.476
"Pex14",-0.0918,0.212,0.476
"Rab27a",0.0763,0.212,0.476
"Adam22",-0.12,0.212,0.476
"Igbp1",0.115,0.212,0.476
"Gna15",0.125,0.212,0.476
"Zfp326",-0.111,0.212,0.476
"Rab5c",-0.102,0.212,0.477
"Agk",0.111,0.212,0.477
"Strn3",-0.167,0.212,0.478
"Zdhhc2",0.088,0.213,0.478
"Aff1",-0.1,0.213,0.478
"Txnrd1",0.13,0.213,0.478
"Atox1",0.0843,0.213,0.478
"Naa40",0.092,0.213,0.478
"Gm15934",-0.129,0.213,0.478
"Ptgfr",-0.125,0.213,0.478
"Irx6",0.0948,0.213,0.478
"Rsl1d1",-0.146,0.213,0.478
"4932438H23Rik",-0.113,0.213,0.478
"Shf",0.0962,0.213,0.478
"Acd",0.0922,0.213,0.479
"Med31",0.117,0.213,0.479
"Hes3",0.105,0.213,0.479
"Zkscan14",0.077,0.213,0.479
"Nobox",0.123,0.213,0.479
"Trim17",0.0992,0.214,0.479
"Pkib",0.097,0.214,0.479
"Col16a1",0.117,0.214,0.479
"Vav3",0.0897,0.214,0.479
"LOC101055909///Sec61b",0.134,0.214,0.479
"Ribc2",0.141,0.214,0.479
"Chodl",0.0808,0.214,0.48
"Heatr6",0.0873,0.214,0.48
"Hap1",0.0783,0.214,0.48
"Zfy2",0.0803,0.214,0.48
"Lcn4",0.0905,0.214,0.48
"Lrp8",-0.0862,0.214,0.48
"Nxph3",0.0965,0.215,0.48
"Ranbp17",0.114,0.215,0.48
"Bfar",0.086,0.215,0.48
"Cnnm2",-0.134,0.215,0.48
"Mrps18b",-0.12,0.215,0.48
"Cd177",-0.113,0.215,0.481
"Ufd1l",-0.112,0.215,0.481
"Leprotl1",-0.128,0.215,0.481
"Atp5d",0.075,0.215,0.481
"Gpn2",0.0948,0.215,0.481
"Col9a2",0.0972,0.215,0.481
"Tnfsf10",-0.113,0.215,0.481
"Tpd52l2",-0.103,0.215,0.481
"Syt4",-0.133,0.215,0.481
"Med14",-0.0903,0.215,0.481
"BC094435///Sgip1///Cog6///Noct",0.105,0.216,0.482
"Cd52",-0.0963,0.216,0.482
"2210409E12Rik///Coil",0.0882,0.216,0.482
"Cenpe",-0.0822,0.216,0.482
"Slamf8",0.14,0.216,0.482
"Pelp1",-0.0972,0.216,0.482
"Cemip",0.113,0.216,0.482
"Tyms",0.0883,0.216,0.482
"Epha8",0.0835,0.216,0.482
"Scgb2b7///Scgb2b20",0.088,0.216,0.482
"Aim2",0.0802,0.216,0.482
"Bco1",0.122,0.216,0.482
"Fezf2",0.0805,0.216,0.482
"AI837181",0.0853,0.216,0.482
"Bcl2l11",0.127,0.216,0.482
"Mcpt8",0.085,0.217,0.483
"Mtf1",0.149,0.217,0.483
"Eomes",0.0925,0.217,0.483
"Lrriq4",0.0915,0.217,0.483
"Hmga2",-0.0993,0.217,0.483
"Fbxo15",0.0925,0.217,0.483
"Gpatch4",-0.12,0.217,0.483
"Brd3",0.116,0.217,0.483
"Tnfsf11",0.0783,0.217,0.483
"Elk4",0.102,0.217,0.483
"Hspa1l",0.108,0.217,0.484
"Kcna2",0.103,0.217,0.484
"Gtpbp8",-0.0732,0.218,0.484
"Eif3c",-0.09,0.218,0.484
"Bag5",-0.0828,0.218,0.484
"Vmn2r1",0.115,0.218,0.484
"Jag1",0.092,0.218,0.484
"1700001C19Rik",-0.0945,0.218,0.484
"Ifi30",-0.124,0.218,0.484
"Siglece",0.0997,0.218,0.484
"E2f1",0.0802,0.218,0.484
"Mr1",-0.0897,0.218,0.485
"Gpr37l1",0.105,0.218,0.485
"Cdh9",0.0867,0.218,0.485
"Capns1",-0.0852,0.218,0.485
"Fabp6",-0.176,0.218,0.485
"R3hdm1",0.0847,0.218,0.485
"B3galnt1",-0.101,0.219,0.485
"Klk1b24",0.127,0.219,0.485
"Svs6",0.0948,0.219,0.485
"Itgav",0.0945,0.219,0.485
"Mnat1",-0.111,0.219,0.485
"Tomm34",0.088,0.219,0.485
"Gjc2",0.094,0.219,0.486
"Fndc3a",0.0862,0.219,0.486
"Lrmp",0.115,0.219,0.486
"Yipf5",-0.115,0.219,0.486
"2310031A07Rik",-0.0967,0.219,0.486
"Sox3",0.0993,0.219,0.486
"Lap3",-0.0848,0.219,0.486
"Capn8",0.075,0.219,0.486
"Gabra1",0.0827,0.219,0.486
"Gabarapl1",0.0833,0.219,0.486
"Med7",0.097,0.22,0.486
"Cers5",0.0928,0.22,0.486
"Ssrp1",0.0852,0.22,0.487
"Gm7846///Lsm5",-0.108,0.22,0.487
"Met",0.106,0.22,0.487
"H2-Ea-ps",0.0892,0.22,0.487
"Peli1",0.104,0.22,0.487
"Zbtb22",-0.157,0.22,0.487
"Upb1",-0.099,0.22,0.487
"Particl",0.088,0.22,0.487
"Chad",-0.113,0.22,0.487
"Rab9",0.115,0.22,0.487
"Oprk1",-0.121,0.22,0.487
"Egfr",-0.171,0.221,0.487
"Zfp975",0.0835,0.221,0.487
"Cfap61",0.0982,0.221,0.487
"C1rb///C1ra",0.213,0.221,0.487
"Pex13",0.0865,0.221,0.487
"Irx2",0.097,0.221,0.488
"Ntan1",-0.152,0.221,0.488
"Ctnnd2",-0.0815,0.221,0.488
"Lpar1",0.167,0.221,0.488
"C78441",0.0883,0.221,0.488
"Tagln2",-0.113,0.221,0.488
"Prss40",0.115,0.221,0.488
"Ckap4",-0.12,0.221,0.488
"Tmeff2",0.0967,0.221,0.488
"Irx5",-0.0818,0.221,0.489
"Txndc12",0.1,0.222,0.489
"Chrdl2",0.102,0.222,0.489
"Glycam1",0.0805,0.222,0.489
"Asgr1",0.0878,0.222,0.489
"Klf4",0.163,0.222,0.489
"Plin5",-0.221,0.222,0.49
"Morc1",0.0822,0.222,0.49
"Cd72",0.0883,0.222,0.49
"Slc1a6",-0.0962,0.222,0.49
"Gba",0.102,0.222,0.49
"Wbscr25",0.152,0.222,0.49
"Vstm2a",0.0748,0.222,0.49
"Cd248",0.139,0.222,0.49
"Syt9",0.0965,0.222,0.49
"2310030G06Rik",-0.105,0.222,0.49
"Dnajc18",-0.133,0.223,0.49
"Ramp1",0.0755,0.223,0.49
"Anxa13",-0.23,0.223,0.49
"Fpr-rs3",0.121,0.223,0.49
"Cetn1",0.104,0.223,0.49
"Sfpq",0.12,0.223,0.49
"Fam20b",0.103,0.223,0.49
"Svil",0.13,0.223,0.49
"Prkdc",0.102,0.223,0.49
"Supt4b///Supt4a",0.0943,0.223,0.49
"2510009E07Rik",-0.0885,0.223,0.49
"Rasa3",-0.102,0.223,0.49
"Mtfmt",0.107,0.223,0.49
"Gm7040///Prl2c5///Prl2c4///Prl2c3///Prl2c2",-0.0895,0.223,0.49
"Gmnn",-0.0925,0.224,0.491
"Crisp3",0.0702,0.224,0.491
"Mc5r",-0.1,0.224,0.491
"Gm2769",-0.094,0.224,0.491
"Prkd2",-0.088,0.224,0.491
"Bag4",0.126,0.224,0.491
"Nt5dc2",0.114,0.224,0.491
"Igf2bp1",0.0843,0.224,0.491
"Mafk",0.107,0.224,0.491
"Rpl39",0.092,0.224,0.491
"Hat1",0.0677,0.224,0.491
"Fam114a2",-0.117,0.224,0.491
"Otud5",0.11,0.224,0.491
"Sstr2",0.13,0.224,0.491
"Myef2",0.127,0.225,0.491
"Rps19",-0.0892,0.225,0.491
"Kif3c",0.0998,0.225,0.491
"Sval1",0.125,0.225,0.491
"Hgf",0.0848,0.225,0.491
"Kcnc1",0.0875,0.225,0.491
"Tmem106c",-0.096,0.225,0.491
"Fsip1",0.0742,0.225,0.492
"Tmem38a",-0.103,0.225,0.492
"C76554",0.0942,0.225,0.492
"Aff2",0.132,0.225,0.492
"Snap23",-0.116,0.225,0.492
"Otoa",0.0895,0.225,0.492
"Pou2f2",0.092,0.225,0.492
"Rbm8a",0.0835,0.225,0.492
"Cngb1",0.106,0.225,0.492
"Bpifb1",-0.14,0.225,0.492
"Cst11",0.0907,0.226,0.492
"Cpsf3l",0.101,0.226,0.492
"Gm44504///Ubl4a",-0.0988,0.226,0.492
"Usp9y",0.0887,0.226,0.493
"Sft2d2",-0.0952,0.226,0.493
"Glb1l",0.0978,0.226,0.493
"Scg2",0.127,0.226,0.493
"1110012L19Rik",0.118,0.226,0.493
"Zfp81",0.0908,0.226,0.493
"Fam102a",-0.192,0.226,0.493
"Pdlim4",0.105,0.226,0.493
"Omg",0.131,0.226,0.493
"Cntd1",0.128,0.226,0.493
"Pkia",0.101,0.226,0.493
"F5",0.145,0.227,0.493
"Prkag1",0.0703,0.227,0.493
"Hs3st3a1",0.0847,0.227,0.493
"Lhx5",0.103,0.227,0.493
"AA672641",-0.0772,0.227,0.493
"Cpxm1",0.127,0.227,0.493
"Htr6",0.0992,0.227,0.493
"Smad3",0.117,0.227,0.493
"Slfn1",0.0737,0.227,0.493
"Nfya",-0.1,0.227,0.494
"Fcgbp",0.131,0.227,0.494
"Ube2e3",0.0873,0.227,0.494
"Pdia3",0.131,0.227,0.494
"Ptprd",0.123,0.227,0.494
"Tmem205",-0.0707,0.227,0.494
"Zfp330",-0.0975,0.227,0.494
"Crispld1",-0.0908,0.227,0.494
"1700080E11Rik",0.103,0.227,0.494
"Mapk13",0.346,0.228,0.494
"Tcerg1",-0.113,0.228,0.494
"Amhr2",0.105,0.228,0.494
"Stau1",0.113,0.228,0.494
"Dep1",0.109,0.228,0.494
"Elavl1",0.131,0.228,0.494
"Ikzf4",0.0992,0.228,0.494
"Kcnq5",0.0808,0.228,0.495
"Psme3",-0.114,0.228,0.495
"Htr5b",0.119,0.228,0.495
"Ntpcr",-0.101,0.228,0.495
"Uba7",-0.103,0.228,0.495
"Wasf1",0.124,0.228,0.495
"Ttk",0.108,0.228,0.495
"Ezh1",-0.0955,0.229,0.495
"Katna1",0.135,0.229,0.495
"Trav12n-1",0.0913,0.229,0.495
"P3h1",0.0858,0.229,0.495
"Mrpl10",-0.0793,0.229,0.496
"Hoga1",0.128,0.229,0.496
"Erc1",0.109,0.229,0.496
"Chmp2a",-0.102,0.229,0.496
"Spsb4",0.116,0.229,0.496
"Dpm1",-0.106,0.229,0.496
"Gimap1",-0.0865,0.229,0.496
"Nes",0.095,0.229,0.497
"Slc16a4",0.1,0.229,0.497
"Rpl12",0.0897,0.23,0.497
"Kera",0.113,0.23,0.497
"Cox6b2",0.15,0.23,0.497
"Aldob",-0.0845,0.23,0.497
"Cyp2j5",0.114,0.23,0.497
"Ptgr1",-0.172,0.23,0.497
"Grpel2",-0.107,0.23,0.497
"Snx14",0.105,0.23,0.497
"Cbr3",-0.133,0.23,0.497
"Lsm8",-0.197,0.23,0.497
"Celsr3",0.116,0.23,0.497
"LOC102634389",-0.108,0.23,0.497
"Hp",-0.129,0.23,0.497
"Tmem43",-0.108,0.23,0.497
"Plagl1",-0.128,0.23,0.498
"Hspa14",0.0733,0.231,0.498
"Gata2",0.0788,0.231,0.498
"Scml4",0.0667,0.231,0.498
"Atp6ap2",-0.102,0.231,0.499
"Elof1",0.0965,0.232,0.499
"Ppp2r5b",-0.097,0.232,0.499
"Ets2",-0.094,0.232,0.499
"Fbxo43",0.0998,0.232,0.499
"St7",0.0927,0.232,0.5
"Nup155",0.0895,0.232,0.5
"Cenpt",0.116,0.232,0.5
"Ppfia4",-0.091,0.232,0.5
"Slc35b3",-0.143,0.232,0.5
"Tgfb2",-0.1,0.232,0.5
"Cabp4",0.0897,0.232,0.5
"Pknox2",0.0938,0.232,0.5
"Sprr2i",0.097,0.232,0.5
"Syt7",0.105,0.232,0.5
"Ube3a",0.101,0.233,0.501
"Mark4",0.0757,0.233,0.501
"Nap1l3",-0.0813,0.233,0.501
"Rnf141",0.0788,0.233,0.501
"Smim10l1",-0.211,0.233,0.501
"Odf4",0.0908,0.233,0.501
"Defb10",0.103,0.233,0.501
"Adam21",0.115,0.233,0.501
"Cacul1",-0.0918,0.233,0.501
"Gps2",0.106,0.233,0.501
"Tsku",0.179,0.233,0.501
"1700001K19Rik",0.0805,0.233,0.501
"Cdk5",0.117,0.233,0.501
"Cd96",0.127,0.234,0.502
"Kcnk1",0.0922,0.234,0.502
"Ncoa6",0.078,0.234,0.502
"Atn1",0.107,0.234,0.502
"Ube2e2",0.125,0.234,0.502
"Cyp2b13",0.126,0.234,0.502
"Kdm2b",-0.256,0.234,0.502
"Slc38a1",0.126,0.234,0.502
"Gpank1",0.106,0.234,0.502
"Gtf3a",-0.0967,0.234,0.502
"Blcap",-0.133,0.234,0.502
"Fah",-0.101,0.234,0.502
"Cdhr1",0.142,0.234,0.502
"Hsf4",0.103,0.234,0.502
"Pxk",-0.0845,0.234,0.502
"Ppig",-0.156,0.235,0.503
"Cnbd2",0.106,0.235,0.503
"Chil1",-0.087,0.235,0.503
"Ice1",0.0912,0.235,0.503
"Grin2b",0.112,0.235,0.503
"Gsto1",-0.175,0.235,0.503
"Nol7",-0.0888,0.235,0.503
"Tpx2",0.105,0.235,0.503
"Ncan",-0.111,0.235,0.503
"Dym",-0.141,0.235,0.503
"Fabp9",0.0817,0.236,0.504
"Mcm3",-0.128,0.236,0.504
"Pole",0.134,0.236,0.504
"Gla",-0.104,0.236,0.504
"Coa7",-0.0828,0.236,0.505
"Gcsh",-0.082,0.236,0.505
"Igll1",0.117,0.236,0.505
"Gatc",-0.113,0.236,0.505
"Pax1",0.087,0.236,0.505
"1700120B22Rik",0.115,0.237,0.505
"Timm17b",0.102,0.237,0.505
"Agap1",0.12,0.237,0.505
"Gm44502///Cpt1b///Chkb",0.0793,0.237,0.505
"Emb",0.0738,0.237,0.505
"Gm13583",0.103,0.237,0.505
"Gabra6",0.105,0.237,0.505
"Sbds",0.072,0.237,0.506
"Atpaf2",0.0752,0.237,0.506
